category,name,imageUrl, description,price ,weight_g
שתייה קלה ,סודה,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית,12,
שתייה קלה ,קולה,/branding/Brooklyn Bake Shop_Label-1.jpg,פחית,12,
שתייה קלה ,קולה זירו,/branding/Brooklyn Bake Shop_Label-1.jpg,פחית,12,
שתייה קלה ,ספריט,/branding/Brooklyn Bake Shop_Label-1.jpg,פחית,12,
שתייה קלה ,ספריט זירו,/branding/Brooklyn Bake Shop_Label-1.jpg,פחית,12,
שתייה קלה ,פיוזטי,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק פלסטיק,13,
שתייה קלה ,פיוזטי דיאט,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק פלסטיק,13,
שתייה קלה ,XL,/branding/Brooklyn Bake Shop_Label-1.jpg,פחית,10,
שתייה קלה ,מיץ תפוחים,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,12,
שתייה קלה ,מיץ תפוזים,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,12,
שתייה קלה ,מיץ אשכולית,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,12,
שתייה קלה ,מיץ תות בננה,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,12,
שתייה קלה ,מיץ ענבים,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,12,
שתייה קלה ,Nordic בטעם פירות יאר ללא סוכר ,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,13,
שתייה קלה ,Nordic בטעם לימונדה ,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,13,
שתייה קלה ,Nordic בטעם אפסק,/branding/Brooklyn Bake Shop_Label-1.jpg,בקבוק זכוכית ,13,
ארוחת בוקר,קופסת פינוק בוקר,/product_images/PHOTO-2026-04-23-13-50-32_2.jpg,2 בייגלים טריים • 2 מאפים טריים • טונה וגבינת שמנת • ירקות פרוסים טריים • קפה קר גדול,240,
ארוחת בוקר, קופסת ארוחת בוקר מהמאפייה,/product_images/PHOTO-2026-04-23-13-50-32.jpg,"• 2 בייגלים טריים • 2 מאפים • שלישיית ממרחים: טונה, גבינת שמנת ואבוקדו • מגש מעוצב של ירקות פרוסים טריים • מאפין Signature • דניש Brooklyn Famous • שני בלינצ'ס • יוגורט עם גרנולה • קפה קר גדול",290,
ארוחת בוקר, משתה ארוחת בוקר משפחתי,/product_images/PHOTO-2026-04-23-13-50-33.jpg,"• 4 בייגלים טריים • ארבעה ממרחים: טונה, אבוקדו, גבינת שמנת וסלמון מעושן • סלט טרי גדול • 4 יחידות בלינצ׳ס חלבי • 2 מאפיני Signature • דניש Brooklyn Famous • יוגורט עם גרנולה • קפה קר גדול ",465,
מגשי אירוח, מארז טורטיות מיקס ,/product_images/PHOTO-2026-04-23-13-50-33_2.jpg,"מבחר  של טורטיות במילוי  טונה, סלט ביצים, אבוקדו וסלמון מעושן. 12 יחידות מזונות",155,
מגשי אירוח,מארז סנדוויצ'ים מיקס,/product_images/PHOTO-2026-04-23-13-50-33_1.jpg,"מבחר עשיר של סנדוויצ'ים טריים במילוי סלט ביצים, אבוקדו, סלמון מעושן וטונה. 24 יחידות מזונות",155,
מגשי אירוח,מארז סנדוויצ'ים מיקס,/product_images/PHOTO-2026-04-23-13-50-32_1.jpg,"מבחר עשיר של סנדוויצ'ים טריים במילוי סלט ביצים, אבוקדו, סלמון מעושן וטונה. 16 יחידות מזונות",105,
מגשי אירוח,קופסת סנדוויצ'ים ,/product_images/PHOTO-2026-04-23-13-50-34.jpg,מבחר סנדוויצ'ים טריים במילוי סלט ביצים קלאסי וסלט טונה. 8 יחידות מזונות,55,
מגשי אירוח,מארז סנדוויצ׳ים,/product_images/PHOTO-2026-04-23-13-50-34.jpg,"מארז הסנדוויצ'ים הטריים שלנו, כולל קופסת סנדוויצ'ים ביצה וטונה (8 יחידות), קופסת סנדוויצ'ים מעורבים (16 יחידות), וקופסת סנדוויצ'ים מעורבים (24 יחידות) במילוי סלט ביצים, אבוקדו, סלמון מעושן וטונה מזונות",310,
מגשי אירוח,מארז טורטיות מיקס,/product_images/PHOTO-2026-04-23-13-50-33_2.jpg,"מארז טורטיות  (12 יחידות: טונה, סלט ביצים, אבוקדו וסלמון מעושן), מארז סנדוויצ'ים מעורבים (24 יחידות), מארז סנדוויצ'ים ביצה וטונה (8 יחידות). מזונות",389,
מגשי אירוח, מארז סנדוויצ'ים וטורטיות מיקס,/product_images/PHOTO-2026-04-23-13-50-36.jpg,"מארז סנדוויצ'ים מעורבים (16 יחידות) מארז טורטיות  (12 יחידות), במילוי סלט ביצים, אבוקדו, סלמון מעושן וטונה. מזונות",255,
מגשי אירוח,מארז סנדוויצ'ים וטורטיות -ביצה וטונה,/product_images/PHOTO-2026-04-23-13-50-36.jpg,מארז קופסת סנדוויצ'ים ביצה וטונה (8 יחידות) ומארז טורטיות  (12 יחידות). מזונות,220,
